,entry_strategies,exit_strategies,profit_mean,profit_min,profit_max
1515,"PVO Entry, MACD Entry","Force Exit, TSI Exit",16.9010989010989,-450.0,502.0
914,"MFI Entry, Keltner Entry","MFI Exit, MACD Exit",16.802197802197803,-125.0,406.0
156,"Force Entry, Keltner Entry",MACD Exit,16.791208791208792,-224.0,227.0
284,"Force Entry, MACD Entry, Keltner Entry",Force Exit,16.67032967032967,-127.0,383.0
2176,"TSI Entry, Keltner Entry",Keltner Exit,16.65934065934066,-137.0,309.0
1995,"RSI Entry, Bollinger Entry","MFI Exit, MACD Exit",16.615384615384617,-305.0,210.0
936,"MFI Entry, Keltner Entry","RSI Exit, Bollinger Exit",16.505494505494507,-125.0,332.0
1735,"PVO Entry, RSI Entry, Bollinger Entry","RSI Exit, Bollinger Exit",16.406593406593405,-120.0,334.0
1124,"MFI Entry, RSI Entry","RSI Exit, Bollinger Exit",16.406593406593405,-105.0,248.0
1646,"PVO Entry, RSI Entry",Bollinger Exit,16.065934065934066,-106.0,518.0
1,Bollinger Entry,Force Exit,15.824175824175825,-370.0,920.0
193,"Force Entry, MACD Entry","Force Exit, MACD Exit",15.758241758241759,-231.0,339.0
327,"Force Entry, MACD Entry, Keltner Entry",TSI Exit,15.362637362637363,-139.0,396.0
1787,"PVO Entry, TSI Entry",Bollinger Exit,15.263736263736265,-49.0,182.0
911,"MFI Entry, Keltner Entry",MFI Exit,15.164835164835164,-125.0,364.0
1461,"PVO Entry, Keltner Entry","Force Exit, Keltner Exit",15.131868131868131,-375.0,546.0
94,Force Entry,"TSI Exit, Keltner Exit",15.054945054945055,-555.0,478.0
1519,"PVO Entry, MACD Entry",MACD Exit,14.967032967032967,-154.0,255.0
2163,"TSI Entry, Keltner Entry",Bollinger Exit,14.923076923076923,-128.0,152.0
1100,"MFI Entry, RSI Entry","MFI Exit, Bollinger Exit",14.846153846153847,-114.0,342.0
158,"Force Entry, Keltner Entry","MACD Exit, Keltner Exit",14.758241758241759,-152.0,365.0
1788,"PVO Entry, TSI Entry",Force Exit,14.494505494505495,-60.0,522.0
303,"Force Entry, MACD Entry, Keltner Entry","MFI Exit, MACD Exit",14.406593406593407,-151.0,252.0
55,Force Entry,"Force Exit, RSI Exit",14.219780219780219,-555.0,700.0
957,"MFI Entry, MACD Entry","MACD Exit, Keltner Exit",14.197802197802197,-177.0,635.0
1471,"PVO Entry, Keltner Entry",Keltner Exit,14.197802197802197,-159.0,546.0
10,Bollinger Entry,"Force Exit, TSI Exit",14.142857142857142,-364.0,435.0
1458,"PVO Entry, Keltner Entry",Bollinger Exit,13.989010989010989,-257.0,222.0
1640,"PVO Entry, MACD Entry, Keltner Entry",RSI Exit,13.989010989010989,-110.0,367.0
2079,TSI Entry,"Force Exit, TSI Exit",13.780219780219781,-503.0,748.0
